room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
974776,1407,3370147,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,10,4.5,3,1.0,,87.0,,2017-06-29 01:35:37.472812,45.057556,7.692861,0101000020E610000007B29E5A7DC51E4023D8B8FE5D874640
19442069,1407,49783038,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,91.0,,2017-06-29 01:35:24.649640,45.065729,7.670285,0101000020E610000058FFE7305FAE1E400BB3D0CE69884640
13783612,1407,80945766,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,1,0.0,4,2.0,,35.0,,2017-06-29 01:29:22.539347,45.035424,7.650528,0101000020E610000077871403249A1E402BBF0CC688844640
18385730,1407,127346076,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,8,4.5,3,1.0,,40.0,,2017-06-29 01:29:20.835580,45.056017,7.67823,0101000020E610000011AAD4EC81B61E409082A7902B874640
2471364,1407,1968104,Entire home/apt,,Turin,,Centro - Crocetta,2,0.0,9,4.0,,288.0,,2017-06-29 01:29:14.476278,45.066074,7.696544,0101000020E61000006DE690D442C91E40D68EE21C75884640
5534154,1407,27282668,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,2.0,,207.0,,2017-06-29 01:29:14.459886,45.061999,7.663869,0101000020E61000001A506F46CDA71E403EB14E95EF874640
6047350,1407,17123076,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,2,1.0,,265.0,,2017-06-29 01:29:14.452162,45.073622,7.679314,0101000020E61000001ADCD6169EB71E40102219726C894640
17918403,1407,2032974,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,207.0,,2017-06-29 01:29:13.635799,45.066657,7.681494,0101000020E61000004FAE2990D9B91E405586713788884640
1115658,1407,383918,Entire home/apt,,Turin,,Centro - Crocetta,40,4.0,8,4.0,,253.0,,2017-06-29 01:29:13.622710,45.06561,7.679812,0101000020E6100000A2B60DA320B81E40312592E865884640
791025,1407,4008236,Entire home/apt,,Turin,,Centro - Crocetta,3,5.0,7,3.0,,205.0,,2017-06-29 01:29:12.100303,45.075884,7.676001,0101000020E6100000D1402C9B39B41E4014252191B6894640
4467556,1407,23179596,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,148.0,,2017-06-29 01:29:11.402720,45.064734,7.67938,0101000020E6100000D6390664AFB71E403A78263449884640
5650921,1407,29284047,Entire home/apt,,Turin,,Centro - Crocetta,10,4.0,6,3.0,,173.0,,2017-06-29 01:29:09.237375,45.063211,7.696402,0101000020E6100000D9791B9B1DC91E40ADDF4C4C17884640
17537358,1407,118951354,Entire home/apt,,Turin,,"Aurora, Vanchiglia - Sassi - Madonna del Pilone",1,0.0,4,1.0,,148.0,,2017-06-29 01:29:07.428842,45.060771,7.728307,0101000020E61000009FCA694FC9E91E40CAC51858C7874640
16110771,1407,43605700,Entire home/apt,,Turin,,Centro - Crocetta,1,0.0,4,1.0,,138.0,,2017-06-29 01:29:03.533942,45.064286,7.696974,0101000020E610000033A6608DB3C91E409BCB0D863A884640
16674869,1407,16842008,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,138.0,,2017-06-29 01:29:03.530605,45.078009,7.679632,0101000020E6100000A2427573F1B71E4097E5EB32FC894640
18701407,1407,25627017,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,5,2.0,,127.0,,2017-06-29 01:29:01.869027,45.079929,7.673424,0101000020E6100000B35DA10F96B11E4041800C1D3B8A4640
3724559,1407,17448912,Entire home/apt,,Turin,,Centro - Crocetta,13,4.5,4,1.0,,144.0,,2017-06-29 01:29:01.861607,45.070918,7.675275,0101000020E6100000C139234A7BB31E404F594DD713894640
16028524,1407,14615621,Entire home/apt,,Turin,,"Aurora, Vanchiglia - Sassi - Madonna del Pilone",3,5.0,4,2.0,,138.0,,2017-06-29 01:29:01.854586,45.065447,7.698885,0101000020E6100000EBA86A82A8CB1E40874F3A9160884640
18340750,1407,33828596,Entire home/apt,,Turin,,Centro - Crocetta,2,0.0,5,3.0,,138.0,,2017-06-29 01:29:01.846725,45.075497,7.673153,0101000020E610000031D120054FB11E401AF9BCE2A9894640
17809980,1407,14623213,Entire home/apt,,Turin,,"Aurora, Vanchiglia - Sassi - Madonna del Pilone",6,5.0,4,1.0,,127.0,,2017-06-29 01:28:59.895770,45.070158,7.695243,0101000020E61000007A17EFC7EDC71E40C1C6F5EFFA884640
15599240,1407,94628894,Entire home/apt,,Turin,,"Aurora, Vanchiglia - Sassi - Madonna del Pilone",5,5.0,4,1.0,,138.0,,2017-06-29 01:28:59.892702,45.070205,7.702441,0101000020E6100000687A89B14CCF1E400282397AFC884640
