"","neigh","price"
"100","Firenze -  7 - Pisana, Soffiano",360
"101","Firenze -  7 - Pisana, Soffiano",270
"102","Firenze -  7 - Pisana, Soffiano",268
"103","Firenze -  7 - Pisana, Soffiano",595
"104","Firenze -  7 - Pisana, Soffiano",370
"105","Firenze -  7 - Pisana, Soffiano",235
"106","Firenze -  7 - Pisana, Soffiano",125
"107","Firenze -  8 - Il Prato",145
"108","Firenze -  8 - Il Prato",220
"109","Firenze -  8 - Il Prato",105
"110","Firenze -  8 - Il Prato",270
"111","Firenze -  8 - Il Prato",236
"112","Firenze -  8 - Il Prato",98.25
"113","Firenze -  8 - Il Prato",290
"114","Firenze -  8 - Il Prato",288
"115","Firenze -  8 - Il Prato",215
"116","Firenze -  8 - Il Prato",265
"117","Firenze -  8 - Il Prato",215
"118","Firenze -  8 - Il Prato",330
"119","Firenze -  8 - Il Prato",179
"120","Firenze -  8 - Il Prato",740
"121","Firenze -  8 - Il Prato",590
"122","Firenze -  9 - S. Jacopino, La Fortezza",560
"123","Firenze -  9 - S. Jacopino, La Fortezza",328
"124","Firenze -  9 - S. Jacopino, La Fortezza",690
"125","Firenze -  9 - S. Jacopino, La Fortezza",210
"126","Firenze -  9 - S. Jacopino, La Fortezza",170
"127","Firenze -  9 - S. Jacopino, La Fortezza",190
"128","Firenze -  9 - S. Jacopino, La Fortezza",215
"129","Firenze -  9 - S. Jacopino, La Fortezza",350
"130","Firenze -  9 - S. Jacopino, La Fortezza",850
"131","Firenze -  9 - S. Jacopino, La Fortezza",640
"132","Firenze -  9 - S. Jacopino, La Fortezza",NA
"133","Firenze -  9 - S. Jacopino, La Fortezza",220
"134","Firenze -  9 - S. Jacopino, La Fortezza",325
"135","Firenze -  9 - S. Jacopino, La Fortezza",350
"136","Firenze -  9 - S. Jacopino, La Fortezza",439
"137","Firenze - 10 - Leopoldo, Rifredi",303
"138","Firenze - 10 - Leopoldo, Rifredi",580
"139","Firenze - 10 - Leopoldo, Rifredi",349
"140","Firenze - 10 - Leopoldo, Rifredi",185
"141","Firenze - 10 - Leopoldo, Rifredi",255
"142","Firenze - 10 - Leopoldo, Rifredi",318
"143","Firenze - 10 - Leopoldo, Rifredi",310
"144","Firenze - 10 - Leopoldo, Rifredi",248
"145","Firenze - 10 - Leopoldo, Rifredi",275
"146","Firenze - 10 - Leopoldo, Rifredi",175
"147","Firenze - 10 - Leopoldo, Rifredi",290
"148","Firenze - 10 - Leopoldo, Rifredi",238
"149","Firenze - 10 - Leopoldo, Rifredi",290
"150","Firenze - 10 - Leopoldo, Rifredi",283.5
"151","Firenze - 10 - Leopoldo, Rifredi",295
"152","Firenze - 11 - Viali",390
"153","Firenze - 11 - Viali",550
"154","Firenze - 11 - Viali",760
"155","Firenze - 11 - Viali",228
"156","Firenze - 11 - Viali",530
"157","Firenze - 11 - Viali",550
"158","Firenze - 11 - Viali",390
"159","Firenze - 11 - Viali",160
"160","Firenze - 11 - Viali",279
"161","Firenze - 11 - Viali",520
"162","Firenze - 11 - Viali",280
"163","Firenze - 11 - Viali",320
"164","Firenze - 11 - Viali",495
"165","Firenze - 11 - Viali",185
"166","Firenze - 11 - Viali",390
