,city,Areas,neighborhood,estateprice
103,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",159
104,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",880
105,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",249
106,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",430
107,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",600
108,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",193
109,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",205
110,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",187.5
111,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",220
112,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",140
113,F,Gavinana-Galluzzo,"Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",369
114,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",260
115,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",130
116,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",375
117,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",299
118,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",360
119,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",295
120,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",135
121,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",240
122,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",130
123,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",140
124,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",250
